datetime,day,power,cost,currentState
2024-01-01T00:00:00.000+00:00,Monday,121.02,18.93,New Jersey
2024-01-01T00:05:00.000+00:00,Monday,173.77,27.18,New Jersey
2024-01-01T00:10:00.000+00:00,Monday,139.61,21.84,New Jersey
2024-01-01T00:15:00.000+00:00,Monday,134.54,21.04,New Jersey
2024-01-01T00:20:00.000+00:00,Monday,178.42,27.9,New Jersey
2024-01-01T00:25:00.000+00:00,Monday,155.29,24.29,New Jersey
2024-01-01T00:30:00.000+00:00,Monday,180.43,28.22,New Jersey
2024-01-01T00:35:00.000+00:00,Monday,177.62,27.78,New Jersey
2024-01-01T00:40:00.000+00:00,Monday,110.2,17.24,New Jersey
2024-01-01T00:45:00.000+00:00,Monday,155.59,24.33,New Jersey
2024-01-01T00:50:00.000+00:00,Monday,118.74,18.57,New Jersey
2024-01-01T00:55:00.000+00:00,Monday,107.39,16.8,New Jersey
2024-01-01T01:00:00.000+00:00,Monday,178.06,27.85,New Jersey
2024-01-01T01:05:00.000+00:00,Monday,122.15,19.1,New Jersey
2024-01-01T01:10:00.000+00:00,Monday,152.4,23.84,New Jersey
2024-01-01T01:15:00.000+00:00,Monday,154.89,24.22,New Jersey
2024-01-01T01:20:00.000+00:00,Monday,167.89,26.26,New Jersey
2024-01-01T01:25:00.000+00:00,Monday,180.07,28.16,New Jersey
2024-01-01T01:30:00.000+00:00,Monday,138.04,21.59,New Jersey
2024-01-01T01:35:00.000+00:00,Monday,155.41,24.31,New Jersey
2024-01-01T01:40:00.000+00:00,Monday,136.37,21.33,New Jersey
2024-01-01T01:45:00.000+00:00,Monday,149.87,23.44,New Jersey
2024-01-01T01:50:00.000+00:00,Monday,118.77,18.58,New Jersey
2024-01-01T01:55:00.000+00:00,Monday,188.9,29.54,New Jersey
2024-01-01T02:00:00.000+00:00,Monday,176.11,27.54,New Jersey
2024-01-01T02:05:00.000+00:00,Monday,178.94,27.99,New Jersey
2024-01-01T02:10:00.000+00:00,Monday,173.64,27.16,New Jersey
2024-01-01T02:15:00.000+00:00,Monday,183.04,28.63,New Jersey
2024-01-01T02:20:00.000+00:00,Monday,102.29,16.0,New Jersey
2024-01-01T02:25:00.000+00:00,Monday,134.9,21.1,New Jersey
2024-01-01T02:30:00.000+00:00,Monday,180.45,28.22,New Jersey
2024-01-01T02:35:00.000+00:00,Monday,177.71,27.79,New Jersey
2024-01-01T02:40:00.000+00:00,Monday,159.39,24.93,New Jersey
2024-01-01T02:45:00.000+00:00,Monday,121.29,18.97,New Jersey
2024-01-01T02:50:00.000+00:00,Monday,126.3,19.75,New Jersey
2024-01-01T02:55:00.000+00:00,Monday,160.36,25.08,New Jersey
2024-01-01T03:00:00.000+00:00,Monday,173.64,27.16,New Jersey
2024-01-01T03:05:00.000+00:00,Monday,114.59,17.92,New Jersey
2024-01-01T03:10:00.000+00:00,Monday,139.58,21.83,New Jersey
2024-01-01T03:15:00.000+00:00,Monday,110.38,17.26,New Jersey
2024-01-01T03:20:00.000+00:00,Monday,198.28,31.01,New Jersey
2024-01-01T03:25:00.000+00:00,Monday,103.24,16.15,New Jersey
2024-01-01T03:30:00.000+00:00,Monday,163.94,25.64,New Jersey
2024-01-01T03:35:00.000+00:00,Monday,151.61,23.71,New Jersey
2024-01-01T03:40:00.000+00:00,Monday,140.12,21.91,New Jersey
2024-01-01T03:45:00.000+00:00,Monday,196.88,30.79,New Jersey
2024-01-01T03:50:00.000+00:00,Monday,132.35,20.7,New Jersey
2024-01-01T03:55:00.000+00:00,Monday,185.47,29.01,New Jersey
2024-01-01T04:00:00.000+00:00,Monday,163.5,25.57,New Jersey
2024-01-01T04:05:00.000+00:00,Monday,121.57,19.01,New Jersey
2024-01-01T04:10:00.000+00:00,Monday,188.63,29.5,New Jersey
2024-01-01T04:15:00.000+00:00,Monday,139.85,21.87,New Jersey
2024-01-01T04:20:00.000+00:00,Monday,164.42,25.72,New Jersey
2024-01-01T04:25:00.000+00:00,Monday,154.04,24.09,New Jersey
2024-01-01T04:30:00.000+00:00,Monday,196.26,30.7,New Jersey
2024-01-01T04:35:00.000+00:00,Monday,123.85,19.37,New Jersey
2024-01-01T04:40:00.000+00:00,Monday,120.55,18.85,New Jersey
2024-01-01T04:45:00.000+00:00,Monday,188.72,29.52,New Jersey
2024-01-01T04:50:00.000+00:00,Monday,113.44,17.74,New Jersey
2024-01-01T04:55:00.000+00:00,Monday,192.15,30.05,New Jersey
2024-01-01T05:00:00.000+00:00,Monday,101.53,15.88,New Jersey
2024-01-01T05:05:00.000+00:00,Monday,196.1,30.67,New Jersey
2024-01-01T05:10:00.000+00:00,Monday,191.48,29.95,New Jersey
2024-01-01T05:15:00.000+00:00,Monday,121.78,19.05,New Jersey
2024-01-01T05:20:00.000+00:00,Monday,109.32,17.1,New Jersey
2024-01-01T05:25:00.000+00:00,Monday,152.74,23.89,New Jersey
2024-01-01T05:30:00.000+00:00,Monday,185.47,29.01,New Jersey
2024-01-01T05:35:00.000+00:00,Monday,132.79,20.77,New Jersey
2024-01-01T05:40:00.000+00:00,Monday,148.58,23.24,New Jersey
2024-01-01T05:45:00.000+00:00,Monday,116.44,18.21,New Jersey
2024-01-01T05:50:00.000+00:00,Monday,155.71,24.35,New Jersey
2024-01-01T05:55:00.000+00:00,Monday,161.91,25.32,New Jersey
2024-01-01T06:00:00.000+00:00,Monday,133.9,20.94,New Jersey
2024-01-01T06:05:00.000+00:00,Monday,134.95,21.11,New Jersey
2024-01-01T06:10:00.000+00:00,Monday,144.8,22.65,New Jersey
2024-01-01T06:15:00.000+00:00,Monday,125.81,19.68,New Jersey
2024-01-01T06:20:00.000+00:00,Monday,134.98,21.11,New Jersey
2024-01-01T06:25:00.000+00:00,Monday,139.81,21.87,New Jersey
2024-01-01T06:30:00.000+00:00,Monday,176.72,27.64,New Jersey
2024-01-01T06:35:00.000+00:00,Monday,106.66,16.68,New Jersey
2024-01-01T06:40:00.000+00:00,Monday,135.88,21.25,New Jersey
2024-01-01T06:45:00.000+00:00,Monday,159.88,25.01,New Jersey
2024-01-01T06:50:00.000+00:00,Monday,107.38,16.79,New Jersey
2024-01-01T06:55:00.000+00:00,Monday,166.75,26.08,New Jersey
2024-01-01T07:00:00.000+00:00,Monday,180.94,28.3,New Jersey
2024-01-01T07:05:00.000+00:00,Monday,161.87,25.32,New Jersey
2024-01-01T07:10:00.000+00:00,Monday,123.79,19.36,New Jersey
2024-01-01T07:15:00.000+00:00,Monday,192.68,30.14,New Jersey
2024-01-01T07:20:00.000+00:00,Monday,115.78,18.11,New Jersey
